,Name,Hospital Type,Address,Address_2,City,State,Zipcode,County,Latitude,Longitude,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds - SOURCE,Staffed ICU Beds - SOURCE,Licensed All Beds - SOURCE,All Bed Occupancy Rate - SOURCE,ICU Bed Occupancy Rate - SOURCE,CCM_ID,DH-ID,HCRIS-ID,HIFLD-ID,FIPS
2181,HIALEAH HOSPITAL,GENERAL ACUTE CARE,651 E 25TH ST,,HIALEAH,FL,33013,MIAMI-DADE,25.84556,-80.26895999999999,252.0,21.0,366.0,0.5674603174603174,1.0,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,17133013,782.0,100053.0,17133013.0,12086
2182,REGIONAL ONE HEALTH EXTENDED CARE HOSPITAL,LONG TERM CARE,"890 MADISON AVENUE, 4TH FLOOR",4th Fl,MEMPHIS,TN,38103,SHELBY,35.140840000000004,-90.03195,30.0,0.0,30.0,0.7955251141552512,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17138103,6138.0,442017.0,17138103.0,47157
2183,HARRISON COMMUNITY HOSPITAL,CRITICAL ACCESS,951 EAST MARKET STREET,,CADIZ,OH,43907,HARRISON,40.25742,-80.97731,25.0,,25.0,0.09,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,17143907,2942.0,361311.0,17143907.0,39067
2184,COPIAH COUNTY MEDICAL CENTER,CRITICAL ACCESS,27190 HWY 28,,HAZELHURST,MS,39083,COPIAH,31.87136,-90.41464,25.0,,25.0,0.6,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,171439083,6361.0,251327.0,171439083.0,28029
2185,WOODLAWN HOSPITAL,CRITICAL ACCESS,1400 E 9TH ST,,ROCHESTER,IN,46975,FULTON,41.063959999999994,-86.19569,25.0,4.0,25.0,0.43,0.46,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17146975,4699.0,151313.0,17146975.0,18049
2186,IOWA MEDICAL AND CLASSIFICATION CENTER,GENERAL ACUTE CARE,2700 CORAL RIDGE AVENUE,,CORALVILLE,IA,52241,JOHNSON,41.713640000000005,-91.61098,28.0,,46.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,17152241,6033.0,,17152241.0,19103
2187,JOHN C STENNIS MEMORIAL HOSPITAL,CRITICAL ACCESS,14365 HIGHWAY 16 WEST,,DEKALB,MS,39328,KEMPER,32.77782,-88.67962,25.0,,25.0,0.4,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,171539328,5778.0,251335.0,171539328.0,28069
2188,PUNXSUTAWNEY AREA HOSPITAL,GENERAL ACUTE CARE,81 HILLCREST DRIVE,,PUNXSUTAWNEY,PA,15767,JEFFERSON,40.96105,-78.99967,44.0,5.0,49.0,0.38,0.31,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1715767,3267.0,390199.0,1715767.0,42065
2189,HUTCHINGS PSYCHIATRIC CENTER,PSYCHIATRIC,620 MADISON STREET,,SYRACUSE,NY,13210,ONONDAGA,43.045190000000005,-76.14054,154.0,0.0,154.0,0.7428393524283935,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,171613210,5259.0,334001.0,171613210.0,36067
2190,TAYLORVILLE MEMORIAL HOSPITAL,CRITICAL ACCESS,201 EAST PLEASANT STREET,,TAYLORVILLE,IL,62568,CHRISTIAN,39.55533,-89.29426,25.0,,25.0,0.56,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,17162568,1030.0,141339.0,17162568.0,17021
2191,SLIDELL MEMORIAL HOSPITAL,GENERAL ACUTE CARE,1001 GAUSE BLVD,,SLIDELL,LA,70458,ST. TAMMANY,30.28402,-89.76971999999999,231.0,100.0,231.0,0.43,0.5,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17170458,1693.0,190040.0,17170458.0,22103
2192,MID HUDSON FORENSIC PSYCHIATRIC CENTER,PSYCHIATRIC,2834 ROUTE 17-M,,NEW HAMPTON,NY,10958,ORANGE,41.40567,-74.39251999999999,286.0,,286.0,0.9979787,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,171710958,5474.0,,171710958.0,36071
2193,EASTLAND MEMORIAL HOSPITAL,GENERAL ACUTE CARE,304 SOUTH DAUGHERTY AVENUE,,EASTLAND,TX,76448,EASTLAND,32.39982,-98.82114,36.0,,52.0,0.24,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,17176448,3647.0,450411.0,17176448.0,48133
2194,CREEDMOOR PSYCHIATRIC CENTER,PSYCHIATRIC,79-25 WINCHESTER BLVD,,QUEENS VILLAGE,NY,11427,QUEENS,40.74114,-73.73153,349.0,,349.0,0.9151235000000001,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,171811427,4462.0,,171811427.0,36081
2195,VA MEDICAL CENTER - SHERIDAN,MILITARY,1898 FORT RD,,SHERIDAN,WY,82801,SHERIDAN,44.82738,-106.98573999999999,,,,,,None,None,,None,None,17182801,4261.0,,17182801.0,56033
2196,SPOONER HOSPITAL SYSTEM,CRITICAL ACCESS,1280 CHANDLER DR,,SPOONER,WI,54801,WASHBURN,45.84147,-91.87207,20.0,,25.0,0.29,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,172054801,4228.0,521332.0,172054801.0,55129
2197,THEDACARE MEDICAL CENTER SHAWANO INC,CRITICAL ACCESS,100 COUNTRY ROAD B,,SHAWANO,WI,54166,SHAWANO,44.760529999999996,-88.6067,25.0,,25.0,0.53,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,172154166,4216.0,521346.0,172154166.0,55115
2198,YORK HOSPITAL,GENERAL ACUTE CARE,1001 SOUTH GEORGE STREET,,YORK,PA,17405,YORK,39.9457,-76.7185,522.0,60.0,585.0,0.79,0.93,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17217405,3344.0,390046.0,17217405.0,42133
2199,WESTERN WISCONSIN HEALTH,CRITICAL ACCESS,1100 BERGSLIEN ST,,BALDIWN,WI,54002,SAINT CROIX,44.941340000000004,-92.3783,25.0,,25.0,0.17,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,172254002,4210.0,521347.0,172254002.0,55109
2200,HIGHLANDS REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,3600 S HIGHLANDS AVE,,SEBRING,FL,33870,HIGHLANDS,27.465590000000002,-81.43296,65.0,16.0,126.0,0.5076923076923077,0.6875,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,17233870,744.0,100049.0,17233870.0,12055
2201,COTTONWOOD SPRINGS LLC,PSYCHIATRIC,13351 S ARAPAHO DR,,OLATHE,KS,66062,JOHNSON,38.88578,-94.76781,72.0,0.0,72.0,0.7339041095890411,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,172366062,6268.0,174020.0,172366062.0,20091
2202,ROANE MEDICAL CENTER,GENERAL ACUTE CARE,8045 ROANE MEDICAL CENTER DRIVE,,HARRIMAN,TN,37748,ROANE,35.8886,-84.55601,52.0,6.0,54.0,0.53,0.8,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17237748,3527.0,440031.0,17237748.0,47145
2203,ST VINCENTS CHILTON,GENERAL ACUTE CARE,2030 LAY DAM ROAD,,CLANTON,AL,35046,CHILTON,32.88029,-86.62279000000001,26.0,6.0,30.0,0.28,0.09,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,172435046,6332.0,10173.0,172435046.0,01021
2204,POMERENE HOSPITAL,GENERAL ACUTE CARE,981 WOOSTER ROAD,,MILLERSBURG,OH,44654,HOLMES,40.565090000000005,-81.91991,41.0,4.0,69.0,0.3,0.22,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17244654,2948.0,360148.0,17244654.0,39075
2205,MANNING REGIONAL HEALTHCARE,CRITICAL ACCESS,1550 6TH STREET,,MANNING,IA,51455,CARROLL,41.904540000000004,-95.07555,17.0,,17.0,0.110073,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,17251455,1324.0,,17251455.0,19027
2206,ASSURANCE PSYCHIATRIC HOSPITAL,PSYCHIATRIC,900 NORTH HIGH SCHOOL ROAD,,INDIANAPOLIS,IN,46214,MADISON,39.77753,-86.27331,23.0,0.0,23.0,0.8755211435378202,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,172546214,6370.0,154064.0,172546214.0,18097
2207,ST JOSEPH HOSPITAL,CRITICAL ACCESS,1 AMALIA DRIVE,,BUCKHANNON,WV,26201,UPSHUR,38.991409999999995,-80.23639,25.0,4.0,151.0,0.41,0.22,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1726201,4114.0,511321.0,1726201.0,54097
2208,SOUTH CAMERON MEMORIAL HOSPITAL,GENERAL ACUTE CARE,5360 W CREOLE HWY,,CAMERON,LA,70631,CAMERON,29.80808,-93.16568000000001,25.0,,49.0,,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,None,None,17270631,1636.0,190307.0,17270631.0,22023
2209,STRATEGIC BEHAVIORAL CENTER LELAND,PSYCHIATRIC,2050 MERCANTILE DRIVE,,LELAND,NC,28451,BEAUFORT,34.26076,-78.06371,40.0,0.0,40.0,0.8311643835616438,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,172728451,6121.0,344030.0,172728451.0,37019
2210,SILOAM SPRINGS REGIONAL HOSPITAL,GENERAL ACUTE CARE,603 N. PROGRESS AVENUE,,SILOAM SPRINGS,AR,72761,BENTON,36.18994,-94.50715,44.0,6.0,73.0,0.24122,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,172761,196.0,,172761.0,05007
2211,CONCHO COUNTY HOSPITAL,CRITICAL ACCESS,EAKER STREET,,EDEN,TX,76837,CONCHO,31.221290000000003,-99.84810999999999,16.0,,16.0,0.06,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,17276837,4526.0,451325.0,17276837.0,48095
2212,COVINGTON - AMG REHABILITATION HOSPITAL,REHABILITATION,"5025 KEYSTONE BLVD, SUITE 200",Suite 200,COVINGTON,LA,70433,ST. TAMMANY,30.41232,-90.08086,24.0,,24.0,0.676712,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,172870433,6331.0,,172870433.0,22103
2213,PARK RIDGE HOSPITAL,GENERAL ACUTE CARE,100 HOSPITAL DRIVE,,HENDERSONVILLE,NC,28732,HENDERSON,35.39004,-82.48819,73.0,14.0,103.0,0.52,0.14,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1728732,2787.0,340023.0,1728732.0,37089
2214,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,GENERAL ACUTE CARE,1300 NORTH VERMONT AVENUE,,LOS ANGELES,CA,90027,LOS ANGELES,34.09645,-118.29047,317.0,36.0,345.0,0.5,0.49,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17290027,339.0,50063.0,17290027.0,06037
2215,LAKE PINES HOSPITAL,PSYCHIATRIC,3639 LOYOLA AVE,,KENNER,LA,70065,JEFFERSON,30.031740000000003,-90.27009,36.0,0.0,36.0,0.7287037037037037,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,172970065,6438.0,194113.0,172970065.0,22051
2216,PIEDMONT MEDICAL CENTER,GENERAL ACUTE CARE,222 S HERLONG AVE,,ROCK HILL,SC,29732,YORK,34.95661,-81.05176999999999,268.0,24.0,288.0,0.71,0.69,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1729732,3410.0,420002.0,1729732.0,45091
2217,SHEPHERD CENTER,REHABILITATION,2020 PEACHTREE ROAD NW,,ATLANTA,GA,30309,FULTON,33.81006,-84.39376,152.0,0.0,152.0,0.8548846431146359,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1730309,5334.0,112003.0,1730309.0,13121
2218,COBALTH REHABILITATION HOSPITAL,REHABILITATION,3801 BIENVILLE STREET,,NEW ORLEANS,LA,70119,JEFFERSON,29.97353,-90.09403,60.0,0.0,,0.3706849315068493,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,173070119,,193098.0,173070119.0,22071
2219,WYCKOFF HEIGHTS MEDICAL CENTER,GENERAL ACUTE CARE,374 STOCKHOLM ST,,BROOKLYN,NY,11237,KINGS,40.703959999999995,-73.91776,257.0,16.0,324.0,0.62,0.46,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17311237,2618.0,330221.0,17311237.0,36047
2220,COMMUNITY HOSPITAL,GENERAL ACUTE CARE,3100 SW 89TH S,,OKLAHOMA CITY,OK,73159,CLEVELAND,35.37591,-97.57053,45.0,3.0,45.0,0.29,0.04,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,173159,3081.0,370203.0,173159.0,40027
2221,HEALTHSOUTH REHABILITATION HOSPITAL OF YORK,REHABILITATION,1850 NORMANDIE DRIVE,,YORK,PA,17408,YORK,39.98085,-76.78103,90.0,0.0,90.0,0.5459360730593608,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17317408,4967.0,393037.0,17317408.0,42133
2222,FORT DEFIANCE INDIAN HOSPITAL,CRITICAL ACCESS,"HWY 12 & BONITO DR, BLDG. FD 3002",,FORT DEFIANCE,AZ,86504,APACHE,35.75911,-109.04847,56.0,,56.0,0.47,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,173186504,123.0,30071.0,173186504.0,04001
2223,BAPTIST MEDICAL CENTER NASSAU,GENERAL ACUTE CARE,1250 S 18TH ST,,FERNANDINA BEACH,FL,32034,NASSAU,30.653209999999998,-81.44912,68.0,8.0,62.0,0.3382352941176471,0.875,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,1732034,798.0,100140.0,1732034.0,12089
2224,VA MAINE HEALTHCARE SYSTEM TOGUS,MILITARY,1 VA CENTER,,AUGUSTA,ME,4330,KENNEBEC,44.28046,-69.70435,,,,,,None,None,,None,None,173204330,108.0,,173204330.0,23011
2225,WILMINGTON VA MEDICAL CENTER,MILITARY,1601 KIRKWOOD HIGHWAY,,WILMINGTON,DE,19805,NEW CASTLE,39.74017,-75.60635,,,,,,None,None,,None,None,173319805,5.0,,173319805.0,10003
2226,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,PSYCHIATRIC,1201 N 37TH AVE,,HOLLYWOOD,FL,33021,BROWARD,26.02055,-80.18023000000001,50.0,0.0,50.0,0.52,,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,17333021,4850.0,104079.0,17333021.0,12011
2227,SAINT THOMAS MIDTOWN HOSPITAL,GENERAL ACUTE CARE,2000 CHURCH STREET,,NASHVILLE,TN,37203,DAVIDSON,36.153909999999996,-86.80201,395.0,37.0,683.0,0.73,0.79,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17337203,3480.0,440133.0,17337203.0,47037
2228,BALTIMORE VA MEDICAL CENTER,MILITARY,10 NORTH GREENE STREET,,BALTIMORE,MD,21201,BALTIMORE CITY,39.28965,-76.62456,100.0,,100.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,173421201,115.0,,173421201.0,24510
2229,MEDICAL CENTER AT ELIZABETH PLACE,GENERAL ACUTE CARE,ONE ELIZABETH PLACE,,DAYTON,OH,45408,MONTGOMERY,39.74702,-84.19926,26.0,0.0,26.0,0.04457323498419389,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HIFLD-BEDS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17345408,,360274.0,17345408.0,39113
2230,SIOUX CENTER HEALTH,CRITICAL ACCESS,1101 9TH ST SE,,SIOUX CENTER,IA,51250,SIOUX,43.068490000000004,-96.15807,19.0,,21.0,0.24484499999999998,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,17351250,1402.0,,17351250.0,19167
2231,LOCH RAVEN VA MEDICAL CENTER,MILITARY,3900 LOCH RAVEN BOULEVARD,,BALTIMORE,MD,21218,BALTIMORE CITY,39.33634,-76.5957,,,,,,None,None,,None,None,173521218,,,173521218.0,24510
2232,BAPTIST MEDICAL CENTER SOUTH,GENERAL ACUTE CARE,2105 EAST SOUTH BOULEVARD,,MONTGOMERY,AL,36111,MONTGOMERY,32.32815,-86.27755,320.0,44.0,432.0,0.72,0.85,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1736111,86.0,10023.0,1736111.0,01101
2233,PANA COMMUNITY HOSPITAL,CRITICAL ACCESS,101 E NINTH STREET,,PANA,IL,62557,CHRISTIAN,39.3797,-89.0844,22.0,,22.0,0.2,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,17362557,1031.0,141341.0,17362557.0,17021
2234,ROBLEY REX VA MEDICAL CENTER,MILITARY,800 ZORN AVENUE,,LOUISVILLE,KY,40206,JEFFERSON,38.27026,-85.6969,,,,,,None,None,,None,None,173640206,1571.0,,173640206.0,21111
2235,TENNOVA HEALTHCARE - HARTON,GENERAL ACUTE CARE,1801 NORTH JACKSON STREET,,TULLAHOMA,TN,37388,COFFEE,35.3821,-86.23125999999999,74.0,13.0,135.0,0.51,0.53,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1737388,3469.0,440144.0,1737388.0,47031
2236,CINCINNATI VA MEDICAL CENTER - FORT THOMAS,MILITARY,1000 S FT THOMAS AVE,,FT THOMAS,KY,41075,CAMPBELL,39.0646,-84.44564,,,,,,None,None,,None,None,173741075,,,173741075.0,21037
2237,EDINBURG REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,1102 WEST TRENTON ROAD,,EDINBURG,TX,78539,HIDALGO,26.261190000000003,-98.18267,788.0,141.0,788.0,0.43,0.48,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17378539,3721.0,450119.0,17378539.0,48215
2238,ALEXANDRIA VA HEALTH CARE SYSTEM,MILITARY,2495 SHREVEPORT HIGHWAY,,PINEVILLE,LA,71360,RAPIDES,31.35595,-92.43772,54.0,,54.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,173871360,1682.0,,173871360.0,22079
2239,BOLIVAR MEDICAL CENTER,GENERAL ACUTE CARE,901 E. SUNFLOWER ROAD,,CLEVELAND,MS,38732,BOLIVAR,33.748909999999995,-90.70841,152.0,8.0,164.0,0.21,0.5,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1738732,2101.0,250093.0,1738732.0,28011
2240,HUNTINGTON BEACH HOSPITAL,GENERAL ACUTE CARE,17772 BEACH BOULEVARD,,HUNTINGTON BEACH,CA,92647,ORANGE,33.703309999999995,-117.98786000000001,82.0,12.0,82.0,0.54,0.38,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17392647,420.0,50526.0,17392647.0,06059
2241,ST JOSEPH COUNTY VA HEALTH CARE CENTER,MILITARY,1540 TRINITY PLACE,,MISHAWAKA,IN,46545,ST JOSEPH,41.70734,-86.16311,,,,,,None,None,,None,None,173946545,,,173946545.0,18141
2242,OVERTON BROOKS VA MEDICAL CENTER,MILITARY,510 E STONER AVE,,SHREVEPORT,LA,71101,CADDO,32.503029999999995,-93.72202,,,,,,None,None,,None,None,174071101,9.0,,174071101.0,22017
2243,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,MILITARY,2400 CANAL STREET,,NEW ORLEANS,LA,70119,SAINT BERNARD,29.96319,-90.08482,,,,,,None,None,,None,None,174170119,5671.0,,174170119.0,22071
2244,CUMBERLAND COUNTY HOSPITAL,CRITICAL ACCESS,299 GLASGOW ROAD,,BURKESVILLE,KY,42717,CUMBERLAND,36.79619,-85.37295999999999,25.0,,25.0,0.32,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,1742717,1547.0,181317.0,1742717.0,21057
2245,EUGENE J. TOWBIN VETERAN'S HEALTHCARE CENTER,MILITARY,2200 FORT ROOTS DRIVE NORTH,,LITTLE ROCK,AR,72114,PULASKI,34.77816,-92.29741999999999,256.0,,256.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,174272114,5670.0,,174272114.0,05119
2246,HOLMES REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,1350 S HICKORY ST,,MELBOURNE,FL,32901,BREVARD,28.0872,-80.61444,516.0,58.0,550.0,0.6705426356589147,0.8965517241379308,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,17432901,702.0,100019.0,17432901.0,12009
2247,VA EASTERN COLORADO HEALTHCARE SYSTEM,MILITARY,1055 CLEMONT STREET`,,DENVER,CO,80220,DENVER,39.73222,-104.93621999999999,,,,,,None,None,,None,None,174380220,,,174380220.0,08031
2248,SELECT SPECIALTY HOSPITAL - MEMPHIS,LONG TERM CARE,"5959 PARK AVENUE, 12TH FLOOR",12th Floor,MEMPHIS,TN,38119,SHELBY,35.09823,-89.86399999999999,39.0,0.0,39.0,0.8552862662451703,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17438119,5124.0,442014.0,17438119.0,47157
2249,UNIVERSITY HOSPITALS OF CLEVELAND,GENERAL ACUTE CARE,11100 EUCLID AVENUE,,CLEVELAND,OH,44106,CUYAHOGA,41.50614,-81.6051,624.0,50.0,624.0,0.79,0.86,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1744106,2906.0,360137.0,1744106.0,39035
2250,ATRIUM MEDICAL CENTER,GENERAL ACUTE CARE,ONE MEDICAL CENTER DRIVE,,FRANKLIN,OH,45005,WARREN,39.49834,-84.31425,217.0,57.0,324.0,0.4,0.58,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,17445005,3012.0,360076.0,17445005.0,39165
2251,SPARK M. MATSUNAGA VA MEDICAL CENTER,MILITARY,459 PATTERSON ROAD,,HONOLULU,HI,96819,HONOLULU,21.36134,-157.8894,,,,,,None,None,,None,None,174496819,5677.0,,174496819.0,15003
2252,CONTINUING CARE HOSPITAL,LONG TERM CARE,"1026 A AVENUE NE, 6TH FLOOR",,CEDAR RAPIDS,IA,52402,LINN,41.98574,-91.65972,,,24.0,,,None,None,HIFLD-BEDS,None,None,17452402,,,17452402.0,19113
2253,VA NEBRASKA-WESTERN IOWA HEALTH CARE SYSTEM,MILITARY,2201 NO. BROADWELL AVENUE,,GRAND ISLAND,NE,68803,HALL,40.94305,-98.35722,,,,,,None,None,,None,None,174568803,,,174568803.0,31079
2254,RENO BEHAVIORAL HEALTHCARE HOSPITAL,PSYCHIATRIC,6940 SIERRA CENTER PARKWAY,,RENO,NV,89511,WASHOE,39.46389,-119.77603,124.0,0.0,124.0,0.2996506615133046,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,174689511,6309.0,294015.0,174689511.0,32031
2255,COMMUNITY HOWARD REGIONAL HEALTH INC,GENERAL ACUTE CARE,3500 S LAFOUNTAIN ST,,KOKOMO,IN,46904,HOWARD,40.4472,-86.12465999999999,109.0,8.0,109.0,0.43,0.58,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1746904,1234.0,150007.0,1746904.0,18067
